,idManu,income,pokeCity,uneployment
149,51670,0.0,Hopewell city,6.5
150,45051,46694.0,Horry County,5.4
151,24950,53599.0,Howard County,4.228571428571429
152,34017,0.0,Hudson County,5.2
153,34019,0.0,Hunterdon County,4.1
154,6025,0.0,Imperial County,26.4
155,26067,0.0,Ionia County,3.6
156,17075,53561.8,Iroquois County,4.9
157,28387,51949.555555555555,Jackson County,5.143478260869565
158,51095,0.0,James City County,3.8
159,27232,56545.666666666664,Jasper County,5.8125
160,28999,75840.04761904762,Jefferson County,5.748000000000001
161,22051,41770.5,Jefferson Parish,5.9
162,27106,75067.45454545454,Johnson County,5.183333333333334
163,31962,47478.5,Jones County,4.766666666666667
164,55057,48649.0,Juneau County,4.0
165,26077,74723.0,Kalamazoo County,3.7
166,54039,51539.375,Kanawha County,5.2
167,33057,88365.66666666667,Kane County,3.9499999999999997
168,15007,71278.5,Kauai County,3.4
169,40071,0.0,Kay County,6.7
170,32676,83183.25,Kendall County,4.15
171,48261,0.0,Kenedy County,5.4
172,55059,74285.0,Kenosha County,4.8
173,30475,70970.58031088083,Kent County,4.24
174,21117,57867.0,Kenton County,3.8
175,6029,52372.875,Kern County,9.7
176,50651,107658.75,King County,3.75
177,21039,0.0,Kings County,7.4
178,53035,69607.0,Kitsap County,5.9
179,27071,47630.0,Koochiching County,7.7
180,16055,0.0,Kootenai County,4.0
181,4012,0.0,La Paz County,6.6
182,22055,0.0,Lafayette Parish,6.7
183,26488,70881.5294117647,Lake County,5.074999999999999
184,22649,44572.0,Lamar County,5.375
185,50015,45520.5,Lamoille County,3.7
186,42335,66472.75,Lancaster County,4.550000000000001
187,56021,37500.0,Laramie County,4.0
188,20103,0.0,Leavenworth County,4.5
189,24865,48292.13333333333,Lee County,5.825
190,30181,0.0,Leon County,6.0
191,45063,0.0,Lexington County,4.5
192,25899,50709.666666666664,Liberty County,5.675000000000001
193,39089,74727.0,Licking County,4.1
194,39093,80200.5,Lorain County,5.9
195,6037,80469.625,Los Angeles County,5.3
196,51107,142378.33333333334,Loudoun County,3.2
197,42079,56806.2,Luzerne County,6.9
198,26099,75657.75,Macomb County,5.9
199,6039,48031.5,Madera County,8.2
200,26325,60917.25,Madison County,4.347368421052631
201,12081,41607.5,Manatee County,4.6
202,55073,64992.0,Marathon County,3.4
203,4013,75077.0,Maricopa County,4.9
204,6041,123775.0,Marin County,3.5
205,26999,51516.27777777778,Marion County,5.800000000000001
206,28271,39497.333333333336,Marshall County,4.991666666666666
207,36634,52696.75,Mason County,6.05
208,27580,69734.0,McHenry County,4.35
209,48309,45789.0,McLennan County,4.4
210,44118,0.0,Mecklenburg County,5.15
211,6047,53578.5,Merced County,9.2
212,34344,54967.8,Mercer County,5.075
213,33013,67992.0,Merrimack County,2.6
214,25777,47363.666666666664,Miami County,4.366666666666666
215,12086,85332.22222222222,Miami-Dade County,5.6
216,29791,96242.8,Middlesex County,4.15
217,15807,36266.5,Miller County,5.066666666666667
218,1097,56973.42857142857,Mobile County,6.5
219,4015,50804.142857142855,Mohave County,7.0
220,6051,33158.0,Mono County,5.2
221,27288,50937.142857142855,Monroe County,5.252941176470588
222,27628,83448.625,Montgomery County,5.266666666666667
223,44197,42932.0,Moore County,4.133333333333333
224,27027,55130.7,Morgan County,5.1090909090909085
225,34165,66692.25,Morris County,7.2
226,41051,70002.0,Multnomah County,5.0
227,24074,105411.23529411765,Nassau County,4.199999999999999
228,4017,36601.833333333336,Navajo County,8.5
229,9009,70594.0,New Haven County,6.1
230,9011,90262.0,New London County,5.4
231,36061,0.0,New York County,4.9
232,23671,66451.8,Newton County,5.666666666666667
233,36063,65311.0,Niagara County,5.2
234,25021,93921.0,Norfolk County,3.4
235,48355,31473.0,Nueces County,5.9
236,26125,83112.0,Oakland County,4.7
237,34029,61163.25,Ocean County,5.4
238,29146,65934.0,Oconee County,4.75
239,40109,0.0,Oklahoma County,4.5
240,35740,57990.0,Oneida County,3.9
241,36067,64146.6,Onondaga County,4.2
242,37133,66820.0,Onslow County,5.4
243,32374,83473.75,Orange County,4.6
244,22071,0.0,Orleans Parish,6.7
245,19124,43945.666666666664,Osceola County,4.333333333333333
246,36075,65725.0,Oswego County,5.7
247,31380,35668.0,Ottawa County,4.35
248,12099,65323.0,Palm Beach County,5.1
249,37139,0.0,Pasquotank County,6.2
250,34031,0.0,Passaic County,6.8
251,40119,0.0,Payne County,3.9
252,36608,50097.333333333336,Pennington County,3.45
253,42101,0.0,Philadelphia County,7.7
254,19803,37404.666666666664,Pickens County,5.7
255,38116,69567.25,Pierce County,4.220000000000001
256,21442,41099.78571428572,Pike County,6.029999999999999
257,4019,55898.6,Pima County,5.4
258,4021,58458.333333333336,Pinal County,5.9
259,12103,43415.0,Pinellas County,4.3
260,51143,0.0,Pittsylvania County,4.9
261,6061,68839.0,Placer County,4.7
262,22086,82014.2,Plymouth County,3.45
263,30486,43550.846153846156,Polk County,5.116666666666666
264,47115,108223.5,Portage County,4.0
265,18127,101407.75,Porter County,5.3
266,39135,55421.0,Preble County,4.3
267,24033,106972.77777777778,Prince George's County,4.6
268,51153,108624.75,Prince William County,3.6
269,44007,129181.0,Providence County,6.3
270,22165,51660.4,Pulaski County,6.299999999999999
271,36081,0.0,Queens County,5.0
272,22079,36799.0,Rapides Parish,6.9
273,36083,82887.0,Rensselaer County,4.1
274,37440,66722.0,Richland County,4.516666666666666
275,34410,54684.5,Richmond County,5.65
276,51760,0.0,Richmond city,4.7
277,6065,70251.83333333333,Riverside County,6.9
278,51161,0.0,Roanoke County,3.6
279,51770,0.0,Roanoke city,4.4
280,38914,38689.0,Robertson County,5.333333333333333
281,37795,59048.0,Rock County,3.0333333333333337
282,40445,59932.0,Rockingham County,4.066666666666666
283,40131,0.0,Rogers County,5.6
284,42155,0.0,Rutherford County,5.3
285,6067,84968.5,Sacramento County,5.7
286,51775,0.0,Salem city,4.0
287,20561,52589.5,Saline County,4.8
288,49035,92532.0,Salt Lake County,3.2
289,6069,0.0,San Benito County,6.2
290,6071,63765.818181818184,San Bernardino County,6.2
291,6073,78786.8,San Diego County,5.0
292,6075,0.0,San Francisco County,3.5
293,6077,66536.5,San Joaquin County,7.7
294,6079,69471.8,San Luis Obispo County,4.5
295,6081,88415.0,San Mateo County,3.2
296,6083,85404.66666666667,Santa Barbara County,4.8
297,6085,114203.33333333333,Santa Clara County,4.0
298,5055,81200.7,Santa Cruz County,9.35
299,36091,0.0,Saratoga County,3.5
300,31153,68583.0,Sarpy County,3.1
301,55111,54822.0,Sauk County,3.1
302,36093,67812.0,Schenectady County,4.2
303,25797,53621.454545454544,Scott County,4.654545454545454
304,31157,0.0,Scotts Bluff County,3.8
305,14144,55695.0,Sedgwick County,3.7
306,20177,51194.5,Shawnee County,4.5
307,26749,57453.833333333336,Shelby County,4.566666666666666
308,35109,68733.0,Sheridan County,3.44
309,35973,60874.5,Smith County,4.625
310,53061,78124.0,Snohomish County,4.3
311,6095,107548.0,Solano County,5.7
312,30802,85639.5,Somerset County,5.825
313,6097,69292.83333333333,Sonoma County,4.1
314,13255,0.0,Spalding County,6.5
315,53063,62310.333333333336,Spokane County,6.3
316,22087,0.0,St. Bernard Parish,6.9
317,29183,84056.0,St. Charles County,4.1
318,55109,0.0,St. Croix County,3.5
319,22093,76072.0,St. James Parish,8.1
320,12109,83456.0,St. Johns County,3.6
321,28163,60959.083333333336,St. Louis County,5.4
322,29510,0.0,St. Louis city,6.6
323,22103,49818.0,St. Tammany Parish,5.7
324,35682,28540.333333333332,Stafford County,4.5
325,31471,51500.0,Stark County,4.966666666666667
326,30564,110062.83333333333,Suffolk County,4.0
327,32104,90421.71428571429,Summit County,3.233333333333334
328,31741,78802.71428571429,Sussex County,4.866666666666666
329,6101,0.0,Sutter County,7.9
330,29213,37977.0,Taney County,6.1
331,22105,54789.0,Tangipahoa Parish,7.5
332,48439,79968.66666666667,Tarrant County,4.2
333,8119,0.0,Teller County,3.7
334,42120,0.0,Thurston County,5.25
335,31497,40582.5,Todd County,4.866666666666666
336,9013,119346.0,Tolland County,4.8
337,36109,103670.0,Tompkins County,3.7
338,48453,114306.0,Travis County,3.4
339,6107,42335.0,Tulare County,10.6
340,40143,34289.0,Tulsa County,5.2
341,1125,59112.5,Tuscaloosa County,5.5
342,29496,57441.875,Union County,5.0588235294117645
343,13293,56785.5,Upson County,6.2
344,49049,81349.25,Utah County,3.1
345,18163,0.0,Vanderburgh County,4.4
346,6111,57660.0,Ventura County,5.7
347,51810,0.0,Virginia Beach city,4.0
348,12127,75162.5,Volusia County,5.0
349,37183,106139.0,Wake County,4.2
350,50628,58547.0,Walworth County,4.15
351,30959,71133.27272727272,Warren County,5.014285714285714
352,18173,59987.5,Warrick County,4.4
353,29851,63020.36734693877,Washington County,4.873333333333333
354,32031,71657.0,Washoe County,4.9
355,26161,84671.0,Washtenaw County,3.5
356,55133,84646.8,Waukesha County,3.6
357,31796,52730.875,Wayne County,5.799999999999999
358,47183,40819.0,Weakley County,7.3
359,28055,52751.5,Webster County,6.1000000000000005
360,8123,69640.33333333333,Weld County,3.5
361,36119,132087.5,Westchester County,4.2
362,46661,52980.875,Westmoreland County,5.4
363,20203,47648.333333333336,White County,4.9399999999999995
364,24045,57878.0,Wicomico County,5.5
365,17197,56254.0,Will County,5.4
366,37625,72107.66666666667,Williamson County,4.5
367,50027,58445.25,Windsor County,3.1
368,19221,78579.0,Woodford County,3.95
369,24537,62484.5,Worcester County,4.949999999999999
370,20209,0.0,Wyandotte County,6.1
371,41071,0.0,Yamhill County,5.4
372,30111,37134.0,Yellowstone County,3.7
373,38527,61932.375,York County,4.04
